,text,root
0,The infatuation with abortion is disgusting. It is NOT healthcare.,March_for_life
1,"The Constitution allows the people of each individual state to decide whether to allow or ban abortion &amp; how it should be regulated via their elected legislators

But leftists are mad because Roe allowed unelected judges to impose a decision they agreed with on the whole country",March_for_life
2,Business Idea: Abortion hotels in Democrat states.,March_for_life
3,"Access to abortion and reproductive healthcare is fundamentally an economic justice issue for women. Losing abortion rights jeopardizes women’s ability to get an education, build a career and support themselves and their families. We won’t go back. #RoeVWade",NARAL
4,"I don’t know, but maybe the framers didn’t secure abortion protections in the constitution because it didn’t occur to them that a medical procedure would become a political and religious issue and come under attack.",NARAL
5,"Anti-vax was the Trojan ivermectin Horse for anti-abortion, brought to us by the same people. Both anti-vax and anti-abortion policies have outcomes disproportionately affecting people of color and the poor.",NARAL
6,"Please stop with the exceptions to justify abortion laws.

Rape/incest is leas than 1%. A lot less.
Killing the child punishes who, exactly?

Abortions are never required to save the life of the mother. 

We are left with 99% of abortions are for convenience and lifestyle.",March_for_life
7,"Twitter…..at least you are reading my tweets.  Enjoy them.  
Abortion is MURDER OF BABIES.  Abortion is EVIL.",March_for_life
8,My LORD Facebook right now is a pile of slimy pro-abort garbage. I much prefer the horrific abortion-loving takes of the people I don't know here on Twitter.,March_for_life
9,Abortion = Pro death,March_for_life
10,"Can the 10 year old girl who was raped and denied an abortion in Ohio receive 10% as much news coverage this weekend as the Secret Service story?

I'm asking because it might help to further expose the horrors unleashed by the Trump Court and save lives.",NARAL
11,Abortion is not birth control!,March_for_life
12,Just so y’all know… this abortion ruling is simply the opening salvo… there are so many more ‘rights’ up for grabs now,NARAL
13,Roe v wade is no more!,March_for_life
14,"Thanks to Ruth Bader Ginsburg so her role in returning rights to states

Let #NewYork #California and others govern the way the choose, unable to #Florida #Texas and other states govern how they wait

Hail #RBG 

#RoeVsWade #RoeVWade #RoeOverturned #SupremeCourt #AbortionRight",March_for_life
15,"Abortion is not 100% banned, it's just illegal in some states. Other states can still make it happen. #RoeVWade",March_for_life
16,"Your account has been locked.
￼
What happened?
We have determined that this account violated the Twitter Rules. Specifically, for:
1Violating our rules against posting media depicting gratuitous gore. 
IT WAS A PIC OF A DEAD BABY murdered in the womb. Abortion good?  Pic bad",March_for_life
17,Stop abortion at the source- sever the ballsack.,NARAL
18,Gonna need all people to stop saying “LETS JUST ALL MOVE TO COSTA RICA ITS THE PLACE TO BE RN” not just bc that’s a ridiculous mindset but also bc ABORTION IS ILLEGAL THERE TOO,NARAL
19,People talk about the extreme cases of life-saving abortion a lot on here but a lot of cases of health related abortion likely are stuff like Lupus. Where women can survive a pregnancy but the condition can deteriorate rapidly and where perinatal outcomes can be awful.,NARAL
20,Guess what? You’re still paying $5/gallon of gas. Still upcoming food shortages. Still over 8% inflation. Power outages on the horizon. Don’t bother me with abortion outrage. You can still go kill your babies in blue states so sit the f*ck down!,March_for_life
21,The GOP just handed Dems the election. #roeoverturned #roevwade,NARAL
22,I have spoken to several donors today and they have agreed to let me use their donations to assist those that need access to abortion services.  I will work with providers here in Virginia to reach out to those that need these services.,NARAL
23,"1. protection of Roe is NOT controversial.  It is supported by the majority of the public (upwards of 80% in some polls), 2. the majority of people impacted by abortion bans are black, latino and other communities of color, 3. SCOTUS is not done, neither is anti-choice movement",NARAL
24,"We need to stop framing abortion access as solely a women’s issue; it affects any person with a uterus, regardless of gender. Trans, non-binary, agender, and everyone else feeling left out of the conversation: I see you.
#WeWontGoBack 
#BansOffOurBodies 
#GenderEquality",NARAL
25,"As a former fetus, I oppose #abortion.",March_for_life
26,I blame the Supreme Court and complicit voters for me eating Doritos while crying in the bath at 4am. #RoeVWade #DOSOMETHING,NARAL
27,"Now that it’s  so much easier to get a gun than an abortion, expect the homicide rate of pregnant women to go up. 

Oh that’s right … 
homicide is already the #1 cause of maternal death. 

#RoeVsWade #GunViolence #WomensRights",NARAL
28,"For the last few weeks I’ve been speaking with Texas women of all stripes on #abortion. I’m asking each woman the same two questions: 
1. What would you tell the other side if they listened? 
2. Is there any space for common ground?",NARAL
29,Trump saved the black community. Abortion devastated and destroyed the black community like a genocide. #RoeIsDead,March_for_life
30,"Still trying to wrap my mind around how anyone could possibly be upset about the overturning of #RoeVWade.

#VictoryFriday #LifeWins #BabiesHaveaChance",March_for_life
31,"My heart is breaking for all of the people that this SCOTUS opinion will harm. 

People will die without access to safe and legal abortions.

People will be forced into poverty. 

Children will be forced into a severely under resourced foster system. #RoeVWade",NARAL
32,"A society of self-pleasures crucified our Lord. 

So don’t be surprised today when the party of infidelity, abortion, idolaters, etc...  crucifies you. 

#StandFirm ✝️",March_for_life
33,"Modern abortion techniques were developed by Margaret Sanger, a known nazi sympathizer who followed Hitler’s eugenics program.  Her techniques were developed to control the African American population.  So, supporting abortion is supporting a tool of racism.",March_for_life
34,I wish people would stop calling it the abortion pill. It's actually emergency contraception / preventative care!!,NARAL
35,"If you have friends/family in states with trigger laws, they are grappling with the reality that abortion will be illegal in their state by the end of the summer. They may be really scared right now, like my 22 year old niece. If you have the means to assure them that you will",NARAL
36,"You know... I heard an old woman in the gas station telling someone (I assume her husband off on the phone)  &amp; I wanted to hug her.  She said ""if abortion is against God &amp; pregnancy is his will than your limp dick is his will too &amp; those damn pills are sins too"" Yes Mam!",NARAL
37,"""If we lived in a culture that valued women’s autonomy and in which men and women practiced cooperative birth control, the abortion issue would be moot."" — Christiane Northrup",NARAL
38,Good morning to everyone except those of you that support the brutal murder of innocent unborn babies.,March_for_life
39,It's 2022 and people still use the dont want abortion dont have one card lol,March_for_life
40,"#AbortionBan 

A quick tech guide for those seeking abortions where it is about to become criminal:
1) Use private mode on your browser to look for abortion info. 
2) Use an anonymous search engine like DuckDuckGo instead of Google.
3a) Delete period tracking apps if possible.",NARAL
41,"Anger.

The Supreme Court of my country is evil.

This abortion ruling isn’t just “a bad decision”. It is an indication of the moral depravity of that institution.

The Supreme Court fights against truth on behalf of billionaires, and it uses religion to justify its rotten greed.",NARAL
42,"Not killing people should not just be a Christian thing, you would think we would all agree that unjustly killing people is wrong. #RoeOverturned #RoeVWade #SCOTUS #Life #LetChildrenLive #ProLife",March_for_life
43,Roe V. Wade? More like Roe V. Slayed 💅,March_for_life
44,Built into the left's argument on abortion is the idea that it is normal behaviour to get drunk or high on drugs then have unprotected sex with a stranger that they are not interested in entering a committed relationship with. Normal decent working people don't act like that.,March_for_life
45,"Have heard people say that the polarization on the topic of abortion, could be the impetus for the next Civil War.",March_for_life
46,"Mark my words. 
In a few years there will be a woman taking her $4,000 for a vacation in let's say Europe.  The UK or Spain maybe.
She will go to get her abortion and get told no.  Because she didn't look to see that the test of the world is more restrictive than the US.",March_for_life
